ID,Collection,Groups,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55
Guintard-ov-fem-V-5020-L,Claude Guintard,Modern_Sheep,0.910791,1.418067,0.877485,0.787815,1.619184,1.137528,1.674267,0.88389,2.465925,1.225917,2.678571,0.94794,3.324195,1.231041,1.0248,1.456497,1.128561,1.515423,1.228479,1.582035,1.34505,1.597407,1.46034,1.565382,1.534638,1.47315,1.587159,1.365546,1.60125,1.250256,1.696044,1.252818,1.774185,1.365546,1.865136,1.469307,1.971459,1.555134,2.103402,1.589721,2.235345,1.561539,2.330139,1.465464,2.392908,1.343769,2.542785,1.313025,2.623488,1.400133,2.723406,1.464183,2.837415,1.488522,2.955267,1.479555,3.059028,1.425753,3.15126,1.350174,3.258864,1.30662,3.287046,1.158024,3.229401,1.097817,3.165351,1.042734,3.085929,1.015833,3.005226,0.991494,2.923242,0.972279,2.839977,0.96075,2.756712,0.959469,2.586339,0.877485,2.480016,0.822402,2.362164,0.813435,2.244312,0.799344,2.12646,0.78141,2.008608,0.785253,1.89588,0.824964,1.789557,0.880047,1.592283,0.83265,1.503894,0.787815,1.412943,0.744261,1.315587,0.723765,1.218231,0.734013,1.125999,0.771162,1.045296,0.830088,0.951783,0.848022
Guintard-ov-landaise-fem-17-R,Claude Guintard,Modern_Sheep,1.313781,1.880991,1.224867,1.298451,1.971438,1.57899,1.908585,1.295385,2.691948,1.505406,2.714943,1.215669,3.605616,1.433355,1.416492,1.919316,1.514604,1.980636,1.620381,2.025093,1.736889,2.03889,1.841133,1.991367,1.914717,1.90092,1.93158,1.789011,1.934646,1.67097,2.049621,1.678635,2.13087,1.784412,2.235114,1.867194,2.353155,1.923915,2.486526,1.933113,2.598435,1.873326,2.661288,1.755285,2.664354,1.62498,2.777796,1.586655,2.883573,1.644909,3.000081,1.674036,3.116589,1.697031,3.23463,1.697031,3.346539,1.660239,3.443118,1.589721,3.533565,1.51767,3.533565,1.352106,3.466113,1.263192,3.378732,1.189608,3.274488,1.148217,3.159513,1.143618,3.046071,1.142085,2.935695,1.174278,2.825319,1.204938,2.616831,1.198806,2.527917,1.174278,2.43747,1.151283,2.34549,1.142085,2.25351,1.151283,2.163063,1.174278,2.081814,1.217202,2.003631,1.267791,1.8396,1.296918,1.764483,1.27239,1.692432,1.237131,1.617315,1.209537,1.537599,1.203405,1.460949,1.223334,1.385832,1.249395,1.309182,1.275456
Guintard-ov-landaise-fem-8-L,Claude Guintard,Modern_Sheep,1.655808,1.967616,1.731072,1.271808,2.354688,1.69728,2.459136,1.393152,3.154944,1.832448,3.35616,1.617408,3.936768,1.947648,1.761792,1.933824,1.841664,2.022912,1.936896,2.098176,2.049024,2.13504,2.16576,2.110464,2.245632,2.025984,2.284032,1.91232,2.320896,1.798656,2.428416,1.79712,2.492928,1.915392,2.569728,2.02752,2.660352,2.125824,2.783232,2.179584,2.909184,2.138112,3.00288,2.045952,3.076608,1.93536,3.207168,1.913856,3.276288,1.9968,3.362304,2.061312,3.459072,2.108928,3.56352,2.118144,3.67104,2.102784,3.764736,2.049024,3.864576,2.013696,3.9168,1.872384,3.859968,1.821696,3.789312,1.783296,3.723264,1.741824,3.654144,1.701888,3.583488,1.668096,3.511296,1.63584,3.43296,1.632768,3.270144,1.557504,3.201024,1.469952,3.105792,1.423872,2.999808,1.399296,2.893824,1.362432,2.784768,1.342464,2.675712,1.360896,2.568192,1.388544,2.368512,1.376256,2.285568,1.344,2.216448,1.287168,2.128896,1.268736,2.039808,1.261056,1.95072,1.27488,1.872384,1.316352,1.786368,1.340928
Guintard-ov-Lde.Bret-fem-18-R,Claude Guintard,Modern_Sheep,1.471092,2.039737,1.385426,1.409058,2.041214,1.723659,1.952594,1.494724,2.754605,1.651286,2.815162,1.349978,3.58911,1.431213,1.56562,2.08257,1.651286,2.138696,1.748768,2.166759,1.84625,2.138696,1.933393,2.08257,1.995427,2.004289,2.014628,1.903853,2.005766,1.800463,2.119495,1.824095,2.203684,1.924531,2.298212,2.013151,2.417849,2.063369,2.546348,2.072231,2.657123,2.007243,2.708818,1.89056,2.739835,1.766492,2.847656,1.717751,2.951046,1.7724,3.064775,1.800463,3.181458,1.796032,3.295187,1.763538,3.394146,1.702981,3.47095,1.614361,3.562524,1.541988,3.527076,1.369179,3.444364,1.324869,3.360175,1.28499,3.268601,1.262835,3.17555,1.256927,3.083976,1.280559,2.993879,1.307145,2.905259,1.335208,2.719157,1.318961,2.624629,1.277605,2.521239,1.27022,2.416372,1.268743,2.314459,1.289421,2.222885,1.336685,2.137219,1.397242,2.051553,1.456322,1.89056,1.478477,1.832957,1.448937,1.773877,1.420874,1.711843,1.401673,1.646855,1.392811,1.581867,1.398719,1.516879,1.407581,1.451891,1.412012
Guintard-ov-Lde.Bret-fem-9-R,Claude Guintard,Modern_Sheep,1.972754,2.19898,1.860432,1.672174,2.509052,1.873088,2.434698,1.69274,3.181402,1.876252,3.300052,1.618386,4.007206,1.85885,2.075584,2.216382,2.154684,2.28599,2.252768,2.327122,2.355598,2.303392,2.447354,2.251186,2.49956,2.161012,2.496396,2.055018,2.46792,1.952188,2.583406,1.9775,2.64985,2.094568,2.733696,2.202144,2.841272,2.282826,2.969414,2.319212,3.086482,2.265424,3.13236,2.137282,3.14818,2.004394,3.254174,1.968008,3.350676,2.03287,3.453506,2.08824,3.565828,2.115134,3.673404,2.07242,3.744594,1.982246,3.826858,1.899982,3.934434,1.925294,3.980312,1.773422,3.912286,1.713306,3.833186,1.670592,3.747758,1.63737,3.665494,1.612058,3.573738,1.61364,3.481982,1.618386,3.391808,1.624714,3.198804,1.588328,3.10072,1.563016,2.999472,1.544032,2.898224,1.540868,2.796976,1.553524,2.698892,1.575672,2.615046,1.634206,2.524872,1.681666,2.36509,1.67692,2.300228,1.65319,2.233784,1.626296,2.168922,1.600984,2.102478,1.591492,2.036034,1.616804,1.9775,1.654772,1.923712,1.695904
Guintard-ov-Lde.Bret-male-1-L,Claude Guintard,Modern_Sheep,1.568532,1.590624,1.477008,1.0257,2.105052,1.339722,2.06718,1.133004,2.830932,1.383906,2.993466,1.185078,3.63729,1.442292,1.6569,1.619028,1.734222,1.686882,1.82259,1.734222,1.92516,1.738956,2.02773,1.72002,2.086116,1.636386,2.09874,1.533816,2.09085,1.431246,2.182374,1.426512,2.242338,1.53855,2.318082,1.64112,2.420652,1.713708,2.543736,1.742112,2.665242,1.715286,2.734674,1.611138,2.767812,1.489632,2.867226,1.497522,2.939814,1.596936,3.043962,1.658478,3.156,1.710552,3.277506,1.710552,3.383232,1.650588,3.460554,1.555908,3.563124,1.50699,3.600996,1.371282,3.539454,1.316052,3.466866,1.276602,3.3927,1.23873,3.316956,1.204014,3.238056,1.178766,3.156,1.164564,3.073944,1.170876,2.89563,1.145628,2.794638,1.103022,2.692068,1.066728,2.586342,1.043058,2.479038,1.0257,2.370156,1.035168,2.273898,1.087242,2.172906,1.125114,2.007216,1.103022,1.950408,1.061994,1.888866,1.027278,1.824168,1.003608,1.754736,0.995718,1.685304,0.995718,1.61745,1.011498,1.548018,1.011498
Guintard-ov-Vendeen-fem-6-R,Claude Guintard,Modern_Sheep,1.011536,1.596744,1.051256,1.09892,1.690748,1.161148,1.620576,0.888404,2.4163,1.081708,2.55532,0.763948,3.202756,0.977112,1.129372,1.591448,1.241912,1.6219,1.3571,1.629844,1.473612,1.637788,1.578208,1.596744,1.640436,1.501416,1.665592,1.387552,1.680156,1.272364,1.756948,1.255152,1.841684,1.345184,1.940984,1.420652,2.04558,1.486852,2.167388,1.492148,2.274632,1.428596,2.338184,1.324,2.372608,1.20484,2.493092,1.155852,2.576504,1.220728,2.673156,1.265744,2.777752,1.263096,2.875728,1.223376,2.97238,1.17836,3.049172,1.10554,3.135232,1.05258,3.168332,0.90032,3.12464,0.823528,3.067708,0.766596,2.980324,0.756004,2.89294,0.746736,2.805556,0.738792,2.72082,0.762624,2.636084,0.78116,2.4494,0.722904,2.340832,0.710988,2.232264,0.71496,2.123696,0.72158,2.013804,0.7282,1.917152,0.769244,1.82712,0.832796,1.73444,0.888404,1.547756,0.871192,1.480232,0.848684,1.414032,0.865896,1.353128,0.905616,1.288252,0.934744,1.223376,0.967844,1.174388,1.020804,1.120104,1.069792
Guintard-ov-Vendeen-fem-R,Claude Guintard,Modern_Sheep,0.461748,1.851294,0.213666,1.131426,1.071198,1.353696,0.947874,1.055424,1.884276,1.21173,2.013336,0.836022,2.819244,1.195956,0.572166,1.824048,0.68832,1.84986,0.807342,1.867068,0.926364,1.868502,1.031046,1.82118,1.076934,1.712196,1.091274,1.594608,1.078368,1.47702,1.162974,1.461246,1.264788,1.557324,1.37664,1.640496,1.510002,1.680648,1.6491,1.68495,1.762386,1.604646,1.825482,1.481322,1.852728,1.343658,1.973184,1.302072,2.076432,1.363734,2.191152,1.401018,2.30874,1.408188,2.422026,1.36947,2.532444,1.31928,2.641428,1.27626,2.754714,1.300638,2.770488,1.092708,2.71026,0.993762,2.680146,0.883344,2.575464,0.848928,2.467914,0.81021,2.354628,0.804474,2.239908,0.82455,2.125188,0.843192,1.89288,0.815946,1.769556,0.797304,1.644798,0.814512,1.522908,0.83889,1.39815,0.847494,1.289166,0.909156,1.185918,0.979422,1.074066,1.033914,0.85323,1.028178,0.764322,1.008102,0.672546,1.006668,0.583638,1.02531,0.506202,1.071198,0.45171,1.144332,0.378576,1.19022,0.30114,1.148634
Halle-Ckor_1_T,Halle,Modern_Goat,1.672749,1.940187,1.703025,1.478478,2.409465,1.808991,2.517954,1.544076,3.171411,1.874589,3.231963,1.619766,3.890466,1.824129,1.783761,1.995693,1.879635,2.061291,1.957848,2.149596,2.061291,2.205102,2.177349,2.202579,2.2707,2.134458,2.338821,2.038584,2.376666,1.927572,2.470017,1.935141,2.538138,2.061291,2.639058,2.157165,2.752593,2.240424,2.886312,2.278269,3.020031,2.240424,3.105813,2.131935,3.105813,1.99317,3.216825,1.972986,3.297561,2.041107,3.388389,2.091567,3.491832,2.109228,3.595275,2.086521,3.68358,2.028492,3.761793,1.957848,3.855144,1.909911,3.842529,1.748439,3.766839,1.730778,3.696195,1.692933,3.63312,1.647519,3.554907,1.629858,3.476694,1.629858,3.398481,1.632381,3.317745,1.63995,3.171411,1.549122,3.098244,1.503708,3.012462,1.508754,2.929203,1.48857,2.848467,1.458294,2.760162,1.460817,2.681949,1.496139,2.601213,1.528938,2.427126,1.48857,2.379189,1.397742,2.278269,1.38765,2.177349,1.375035,2.073906,1.372512,1.983078,1.417926,1.902342,1.481001,1.801422,1.493616
Halle-Omfl_5_T,Halle,Modern_Sheep,1.683682,1.609993,1.795332,1.074073,2.619309,1.442518,2.623775,1.100869,3.43882,1.433586,3.463383,1.181257,3.992604,1.368829,1.788633,1.623391,1.889118,1.572032,1.994069,1.654653,2.112418,1.717177,2.239699,1.761837,2.369213,1.752905,2.474164,1.668051,2.552319,1.558634,2.681833,1.560867,2.76892,1.661352,2.873871,1.743973,2.99222,1.80873,3.123967,1.810963,3.240083,1.748439,3.309306,1.632323,3.365131,1.511741,3.445519,1.500576,3.496878,1.569799,3.568334,1.623391,3.653188,1.650187,3.735809,1.621158,3.800566,1.5631,3.858624,1.493877,3.914449,1.424654,3.941245,1.324169,3.876488,1.310771,3.811731,1.292907,3.744741,1.290674,3.679984,1.304072,3.612994,1.29514,3.566101,1.248247,3.534839,1.190189,3.43882,1.085238,3.351733,1.056209,3.253481,1.083005,3.14853,1.067374,3.045812,1.051743,2.938628,1.051743,2.838143,1.080772,2.733192,1.098636,2.626008,0.980287,2.541154,0.949025,2.442902,1.00485,2.331252,0.993685,2.215136,1.002617,2.110185,1.04951,2.003001,1.096403,1.893584,1.112034
