"filenames","Predictions"
"landmarks m3/DA 899.txt","SHEEP"
"landmarks m3/DA 963.txt","SHEEP"
"landmarks m3/DA 964.txt","SHEEP"
"landmarks m3/DA 999.txt","GOAT"
