2002.6666	1325.0000
2005.3334	1458.3334
2368.0000	1377.0000
2374.6667	1530.3334
2721.3333	1421.0000
2754.6667	1515.6666
2937.3333	1454.3334
2034.6666	1297.0000
2072.0000	1262.3334
2137.3333	1230.3334
2193.3333	1206.3334
2253.3333	1197.0000
2301.3333	1214.3334
2337.3333	1255.6666
2362.6667	1317.0000
2393.3333	1345.0000
2441.3333	1314.3334
2490.6667	1285.0000
2524.6665	1263.6666
2579.3333	1267.6666
2627.3333	1301.0000
2666.0000	1345.0000
2696.6665	1382.3334
2742.0000	1414.3334
2763.3333	1399.6666
2792.6665	1389.0000
2830.0000	1398.3334
2858.0000	1415.6666
2882.0000	1430.3334
2902.0000	1439.6666
2919.3333	1447.6666
2926.6667	1475.6666
2912.0000	1487.6666
2896.0000	1491.6666
2880.0000	1501.0000
2858.6667	1503.6666
2826.6667	1505.0000
2798.6667	1506.3334
2777.3333	1513.0000
2728.0000	1538.3334
2690.6667	1566.3334
2648.6665	1573.0000
2592.6665	1567.6666
2551.3333	1571.6666
2499.3333	1573.0000
2460.6665	1558.3334
2426.0000	1537.0000
2340.0000	1539.6666
2298.6667	1546.3334
2253.3333	1527.6666
2197.3333	1517.0000
2157.3333	1499.6666
2120.0000	1474.3334
2088.0000	1453.0000
2045.3334	1446.3334
